,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1.3184,-10.25191866,-10.13502412,-10.08032858,-10.16483141,-10.19174759,-10.13842833,-10.13003809,-10.24613396,-10.23767834,-10.13091315,-10.11432457,-10.23898224,-10.25163276,-10.19574225,-10.19490915,-10.30989645
1.3428,-10.21055674,-10.21981683,-10.3453987,-10.37246504,-10.26377638,-10.2411507,-10.30651232,-10.30041328,-10.21869095,-10.20253957,-10.26234901,-10.28697589,-10.24830163,-10.25718346,-10.33809816,-10.34990254
1.3672,-10.28065754,-10.32965494,-10.34892948,-10.30884497,-10.28074315,-10.26947973,-10.24709569,-10.19920477,-10.18784605,-10.20085564,-10.22361984,-10.22816134,-10.21687705,-10.20364041,-10.22408948,-10.24786327
1.3916,-10.29407513,-10.33656911,-10.45090872,-10.40650662,-10.25524273,-10.24859629,-10.36733887,-10.41932079,-10.30269464,-10.266971,-10.39899592,-10.54677191,-10.48450424,-10.3894133,-10.44920533,-10.58181662
1.416,-10.25425055,-10.30710901,-10.39352965,-10.34790836,-10.25898573,-10.26173993,-10.38336681,-10.42525086,-10.36155258,-10.36661656,-10.48546923,-10.52445536,-10.46595066,-10.50340929,-10.53095371,-10.48151121
1.4404,-10.07622784,-10.05381559,-10.08001905,-10.06539535,-10.00596117,-10.00557614,-10.05235156,-10.05545858,-10.02333544,-10.00941107,-10.0211319,-10.03473728,-10.04922343,-10.04811744,-10.04386816,-10.04364226
1.4648,-10.16694257,-10.10095594,-10.07166338,-10.11123623,-10.11376178,-10.04612254,-10.03890278,-10.08925019,-10.06520486,-9.991342764,-10.01246917,-10.08092038,-10.06478947,-9.976132985,-9.979325784,-10.04626656
1.4893,-10.40762169,-10.33160513,-10.4111189,-10.52301383,-10.46217857,-10.336149,-10.29337438,-10.25987679,-10.16353077,-10.12270706,-10.19896254,-10.26069294,-10.17145032,-10.10881045,-10.13901878,-10.16174608
1.5137,-10.55878928,-10.5553027,-10.75404953,-10.78544695,-10.60227818,-10.57452236,-10.68755091,-10.61227805,-10.40985013,-10.38339818,-10.52521951,-10.57008311,-10.46527136,-10.44749773,-10.55883399,-10.51722618
1.5381,-10.46318678,-10.53366871,-10.65435964,-10.573292,-10.43984217,-10.47037002,-10.59398965,-10.56963515,-10.43873792,-10.44987391,-10.59058113,-10.58252709,-10.44347555,-10.44206265,-10.59274492,-10.58415083
1.5625,-10.76087645,-10.65389395,-10.62669531,-10.62278923,-10.56416638,-10.48792901,-10.52425927,-10.57875772,-10.54568069,-10.4712698,-10.49117492,-10.56205901,-10.55175554,-10.47313789,-10.46641238,-10.50368013
1.5869,-10.76348894,-10.64770995,-10.66695235,-10.72244395,-10.61674844,-10.4551759,-10.54130474,-10.70866584,-10.63580888,-10.45104337,-10.50918093,-10.67697826,-10.64327427,-10.46039752,-10.47290012,-10.54516834
