,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46
0.24414,-10.55834861,-10.57663776,-10.51366402,-10.50770537,-10.56180401,-10.57944756,-10.50941089,-10.48316019,-10.57737223,-10.63677666,-10.57939768,-10.51676355,-10.57803434,-10.68365769,-10.74959593,-10.69547643,-10.68736022,-10.71078887,-10.77879272,-10.73732683,-10.69876643,-10.71464526,-10.8099156,-10.83359563,-10.77940009,-10.74865414,-10.84232609,-10.86768377,-10.85759608,-10.93214177,-11.00503631,-10.87038945,-10.6638287,-10.67436889,-10.7060445,-10.63019429,-10.53139038,-10.58875354,-10.65198262,-10.60442216,-10.50460536,-10.55114679,-10.60692188,-10.5628777,-10.46466119,-10.51871692,-10.60009603
0.26855,-10.34763137,-10.43815146,-10.54902721,-10.44861318,-10.31878667,-10.39420147,-10.53086737,-10.46092372,-10.33535748,-10.43949795,-10.59494621,-10.51620785,-10.34589743,-10.405165,-10.55858573,-10.6018288,-10.56097933,-10.67372055,-10.79684167,-10.70978536,-10.58886345,-10.68413333,-10.86785765,-10.77548618,-10.64519938,-10.69762267,-10.86745177,-10.81215023,-10.76902376,-10.80667736,-10.88230651,-10.71490552,-10.69591521,-10.75612035,-10.83288696,-10.65716803,-10.65174904,-10.77726302,-10.8750802,-10.66802391,-10.58446951,-10.69319801,-10.83264742,-10.67871327,-10.58283148,-10.65585776,-10.81074029
0.29297,-10.27901638,-10.39141846,-10.3581926,-10.21693755,-10.21416667,-10.34115345,-10.35840175,-10.23336804,-10.21030561,-10.33259628,-10.39371822,-10.30190212,-10.25994154,-10.344191,-10.41041033,-10.31712468,-10.30294601,-10.45949194,-10.61114628,-10.4755566,-10.37404032,-10.46551932,-10.62168228,-10.49846159,-10.3740143,-10.43859196,-10.64970043,-10.64638968,-10.48635012,-10.53638387,-10.72386615,-10.66248458,-10.48123122,-10.52514881,-10.74553006,-10.74193863,-10.54655571,-10.56081546,-10.76802874,-10.74208577,-10.54605327,-10.54640673,-10.74979011,-10.76833141,-10.56246055,-10.51381534,-10.6852111
0.31738,-9.972481075,-10.10604755,-10.09811352,-9.993534384,-9.958285571,-10.09476623,-10.10390923,-10.00701648,-9.957267463,-10.08818784,-10.13231446,-10.11775601,-10.08749411,-10.18036236,-10.18881426,-10.14592933,-10.10683044,-10.19580917,-10.20165802,-10.13420699,-10.09221483,-10.18787567,-10.20403968,-10.1486735,-10.13037369,-10.27983517,-10.45978465,-10.45401406,-10.35646738,-10.39983282,-10.53225732,-10.48977658,-10.36890939,-10.3833131,-10.52863231,-10.50450082,-10.40065045,-10.42568334,-10.55514783,-10.53623157,-10.40806088,-10.41723983,-10.56994699,-10.57241516,-10.43104694,-10.38762054,-10.52216775
0.3418,-10.05039961,-9.962904779,-9.892982016,-10.00263894,-10.09635066,-10.0027633,-9.907083571,-9.985420667,-10.14603249,-10.17228394,-10.12334347,-10.21166527,-10.26719617,-10.1748018,-10.12224118,-10.18589475,-10.27800574,-10.21946309,-10.15401649,-10.17791398,-10.30854817,-10.26211808,-10.17843586,-10.17521901,-10.32859546,-10.30432081,-10.22924668,-10.17846501,-10.22791218,-10.25902479,-10.24583921,-10.17089832,-10.2298621,-10.27784534,-10.24872901,-10.14450389,-10.18363766,-10.25693934,-10.29598067,-10.189863,-10.21653167,-10.29199822,-10.32818731,-10.19054809,-10.19328563,-10.28291116,-10.36074698
0.36621,-9.831459385,-9.896838226,-9.694709659,-9.634003672,-9.801688464,-9.902156974,-9.739481985,-9.680697406,-9.870953853,-10.05819108,-9.912714147,-9.775865364,-9.887542415,-10.03053411,-9.888494005,-9.751052255,-9.873508433,-10.06801178,-9.976462851,-9.820065749,-9.898901487,-10.06951621,-9.979066182,-9.793655974,-9.834744148,-9.958994246,-9.817432117,-9.58594318,-9.619686937,-9.817064318,-9.818317537,-9.635005304,-9.664307574,-9.873233182,-9.878165606,-9.647564379,-9.633386311,-9.828061387,-9.872400123,-9.682896714,-9.679953685,-9.868126833,-9.892288577,-9.688114992,-9.662867575,-9.850133621,-9.911746675
0.39062,-9.590440214,-9.527042537,-9.462181667,-9.501805897,-9.530068636,-9.484889034,-9.445059402,-9.475207938,-9.500870804,-9.48884203,-9.46862569,-9.496071325,-9.502424761,-9.492145973,-9.488230307,-9.525787206,-9.542885488,-9.533654245,-9.501238104,-9.498191504,-9.519061167,-9.509510778,-9.468097744,-9.47847519,-9.555434418,-9.542512869,-9.421640132,-9.360859783,-9.439082681,-9.517138879,-9.47430806,-9.42961857,-9.488733587,-9.541112536,-9.475984673,-9.419767612,-9.477766908,-9.545953213,-9.492191274,-9.427277019,-9.484016303,-9.569720222,-9.532538888,-9.458133686,-9.501316291,-9.591592477,-9.55533564
0.41504,-9.084887801,-8.96775815,-8.976799636,-9.051417524,-8.998903824,-8.837853911,-8.85474696,-9.002405172,-9.007534755,-8.835427391,-8.82032153,-8.962255832,-8.994352277,-8.834586864,-8.798519156,-8.931615946,-8.990601828,-8.846957382,-8.790073331,-8.909124392,-8.979796545,-8.873802843,-8.82386888,-8.949290962,-9.027273032,-8.913512726,-8.8252244,-8.931360932,-9.049989646,-8.977008448,-8.852838505,-8.895095327,-8.993871414,-8.957202201,-8.852428067,-8.889783097,-8.99255541,-8.971759711,-8.857999384,-8.871221868,-8.972568055,-8.983498628,-8.873715258,-8.865606629,-8.965471506,-8.995891245,-8.88351941
0.43945,-8.666584157,-8.689989978,-8.761560797,-8.721539651,-8.576185677,-8.536037033,-8.574826945,-8.572633165,-8.483473683,-8.456903169,-8.520913935,-8.563339864,-8.480017839,-8.40302888,-8.424364533,-8.475075436,-8.443933167,-8.399623882,-8.426314997,-8.46923138,-8.438013733,-8.392875683,-8.42932603,-8.473614845,-8.427731133,-8.370521231,-8.407268336,-8.46272123,-8.422298859,-8.354365973,-8.388706555,-8.453200594,-8.42589679,-8.360950393,-8.395491161,-8.461300024,-8.44644808,-8.385614852,-8.395345912,-8.436652137,-8.420773472,-8.363074358,-8.365877077,-8.408872115,-8.411524059,-8.370472243,-8.376667538
0.46387,-8.57129338,-8.489146353,-8.503489348,-8.544081782,-8.512174342,-8.480771043,-8.542571361,-8.555917278,-8.441749496,-8.403587107,-8.510961442,-8.562204758,-8.448580647,-8.402141306,-8.484301713,-8.524197823,-8.421355728,-8.378616417,-8.466792713,-8.527581919,-8.430919997,-8.367023758,-8.421452655,-8.471990993,-8.410127429,-8.361563883,-8.412567242,-8.463318022,-8.419827055,-8.381108085,-8.426859841,-8.504204148,-8.501944472,-8.471674574,-8.492482188,-8.55355946,-8.555674967,-8.516978009,-8.514704758,-8.530437433,-8.491737289,-8.427713076,-8.426944565,-8.478937503,-8.495513723,-8.455734699,-8.443973812
