Time,TI-P17-01-X,TI-P17-01-Y,TI-P17-02-X,TI-P17-02-Y,Label
2024-10-01 00:00:00,-0.00566566666666667,-0.008242,0.00793233333333333,-0.0173153333333333,0
2024-10-01 00:10:00,-0.00359583333333333,-0.00865583333333334,0.0078895,-0.0173705,0
2024-10-01 00:20:00,-0.0052325,-0.0089285,0.00782033333333333,-0.0173945,0
2024-10-01 00:30:00,-0.00532116666666667,-0.0065165,0.00783916666666667,-0.0174293333333333,0
2024-10-01 00:40:00,-0.00490716666666667,-0.0084995,0.00774416666666667,-0.017367,0
2024-10-01 00:50:00,-0.00590733333333333,-0.0081275,0.00773900000000001,-0.0172768333333333,0
2024-10-01 01:00:00,-0.005078,-0.00921283333333333,0.00770183333333334,-0.0172626666666667,0
2024-10-01 01:10:00,-0.004916,-0.00905966666666667,0.00765183333333334,-0.0173523333333333,0
2024-10-01 01:20:00,-0.00621783333333333,-0.009451,0.00776,-0.0175085,0
2024-10-01 01:30:00,-0.005118,-0.0077515,0.00770316666666667,-0.017524,0
2024-10-01 01:40:00,-0.00547733333333333,-0.008083,0.00744466666666667,-0.0174415,0
2024-10-01 01:50:00,-0.00569283333333333,-0.00944583333333333,0.00754283333333334,-0.0176155,0
2024-10-01 02:00:00,-0.0057655,-0.0076085,0.007541,-0.0176756666666667,0
2024-10-01 02:10:00,-0.00318416666666667,-0.00805133333333333,0.00777616666666667,-0.0177673333333333,0
2024-10-01 02:20:00,-0.00522616666666667,-0.00917716666666667,0.0078035,-0.0179305,0
2024-10-01 02:30:00,-0.00599666110183639,-0.00835459098497496,0.00785175292153589,-0.0180320534223706,0
2024-10-01 02:40:00,-0.00642116666666667,-0.008972,0.00802766666666667,-0.0180873333333333,0
2024-10-01 02:50:00,-0.00556833333333333,-0.00896516666666666,0.008007,-0.0181811666666667,0
2024-10-01 03:00:00,-0.0039405,-0.0102773333333333,0.00798083333333333,-0.0183093333333333,0
2024-10-01 03:10:00,-0.00471716666666666,-0.00906133333333333,0.00813866666666667,-0.018271,0
2024-10-01 03:20:00,-0.00427633333333333,-0.00878383333333333,0.00802983333333333,-0.0182196666666667,0
2024-10-01 03:30:00,-0.00369266666666667,-0.00803383333333333,0.008119,-0.0183115,0
2024-10-01 03:40:00,-0.00467533333333333,-0.010143,0.00800216666666667,-0.0185066666666667,0
2024-10-01 03:50:00,-0.0052015,-0.0100443333333333,0.00801583333333333,-0.0184515,0
2024-10-01 04:00:00,-0.004596,-0.0100286666666667,0.008145,-0.0185545,0
2024-10-01 04:10:00,-0.005554,-0.00836983333333333,0.00824949999999999,-0.0186811666666667,0
2024-10-01 04:20:00,-0.004171,-0.00782666666666667,0.0082935,-0.0187748333333333,0
2024-10-01 04:30:00,-0.0042085,-0.009292,0.0082635,-0.0186471666666667,0
2024-10-01 04:40:00,-0.00586566666666667,-0.00510816666666667,0.00821566666666666,-0.0187483333333333,0
2024-10-01 04:50:00,-0.00511783333333333,-0.008549,0.00824933333333333,-0.0187096666666667,0
2024-10-01 05:00:00,-0.00418433333333334,-0.00879466666666667,0.00810366666666667,-0.0188391666666667,0
2024-10-01 05:10:00,-0.00562083333333333,-0.00785383333333333,0.0081925,-0.0188775,0
2024-10-01 05:20:00,-0.00409216666666667,-0.006855,0.00823633333333333,-0.0188026666666667,0
2024-10-01 05:30:00,-0.00341733333333333,-0.00726033333333333,0.00809233333333333,-0.018633,0
2024-10-01 05:40:00,-0.00300583333333333,-0.0075245,0.00799466666666667,-0.0186168333333333,0
2024-10-01 05:50:00,-0.00484633333333333,-0.00949433333333333,0.00796216666666667,-0.0187628333333333,0
2024-10-01 06:00:00,-0.00357633333333333,-0.00794366666666666,0.00801533333333333,-0.0191165,0
2024-10-01 06:10:00,-0.00360733333333333,-0.00926583333333333,0.00829816666666666,-0.0192528333333333,0
2024-10-01 06:20:00,-0.003975,-0.0100635,0.00854516666666666,-0.0195583333333333,0
2024-10-01 06:30:00,-0.00494116666666667,-0.00770416666666667,0.00867066666666666,-0.0195191666666667,0
2024-10-01 06:40:00,-0.00399833333333333,-0.00841683333333333,0.00876183333333333,-0.019817,0
2024-10-01 06:50:00,-0.00555133333333333,-0.00942116666666667,0.00886116666666666,-0.0201555,0
2024-10-01 07:00:00,-0.00506766666666666,-0.00699166666666667,0.00896416666666666,-0.0202801666666667,0
2024-10-01 07:10:00,-0.00442816666666667,-0.00756266666666667,0.00908983333333334,-0.0203475,0
2024-10-01 08:50:00,-0.0032625,-0.00926383333333333,0.009109,-0.0205938333333333,0
2024-10-01 09:00:00,-0.00450666666666667,-0.0115708333333333,0.00915133333333334,-0.0207718333333333,0
2024-10-01 09:10:00,-0.0030665,-0.00844016666666666,0.00912,-0.0208108333333333,0
2024-10-01 09:20:00,-0.0024235,-0.00777583333333333,0.00909666666666667,-0.0208798333333333,0
2024-10-01 09:30:00,-0.00336416666666667,-0.00709883333333334,0.00913766666666667,-0.0209956666666667,0
2024-10-01 09:40:00,-0.0037595,-0.0099875,0.009225,-0.0210545,0
2024-10-01 09:50:00,-0.00308966666666667,-0.0113058333333333,0.00926416666666667,-0.0210583333333333,0
2024-10-01 10:00:00,-0.00112433333333333,-0.010074,0.009087,-0.0210846666666667,0
2024-10-01 10:10:00,-0.00399283333333333,-0.0102435,0.00907383333333334,-0.0211236666666667,0
2024-10-01 10:20:00,-0.002984,-0.00953133333333333,0.00887249999999999,-0.0210395,0
2024-10-01 10:30:00,-0.00196483333333333,-0.0092925,0.00883033333333333,-0.0209023333333333,0
